,Tweets
70,"Berdasarkan hasil investigasi dan temuan KNKT, sopir sebenarnya sudah memeriksa kondisi truk sebelum berangkat dan… https://t.co/kNBdx0b2Ap"
71,Rem yang kurang pakem jadi salah penyebab kecelakaan yang melibatkan truk tangki Pertamina dan menewaskan 10 orang… https://t.co/lU1WD3fhJx
72,"Setelah tenar lalu menghilang, eh ada yang tau-tau muncul lagi nih~

Pada masih inget nga ni👀

| Narasi Daily https://t.co/whU0iWKgid"
73,"Banyak juga ya Rp5,4 juta, tapi yang terpenting sih skema BLT ini menyesuaikan penghasilan warganya 🤔

| Narasi Dai… https://t.co/4MfNZfB7a7"
74,"Pengacara Eliezer, Ronny Talapessy, sendiri tak mengajukan eksepsi atau nota keberatan atas dakwaan yang disampaika… https://t.co/yszwZzRaxA"
75,"Hari ini, gantian Richard Eliezer yang melaksanakan sidang perdana atas kasus pembunuhan Brigadir Yosua di Pengadil… https://t.co/iuqdjZSpno"
76,"Korban meninggal peristiwa Kanjuruhan bertambah lagi, kini totalnya 133 orang. 😢 

https://t.co/K3KJF2vXRD"
77,"Bakal gimana ya hasil transformasi dan reformasi sepak bola di Indonesia ini? 🤔

| Narasi Daily https://t.co/MfpJDnsagO"
78,"""Dengan manajemen stadion, utamanya yang berkaitan dengan fasilitas2 di stadion, standarnya seperti apa. Yang kedua… https://t.co/Jyu2d01mGR"
79,Stadion Kanjuruhan akan diruntuhkan dan dibangun kembali. Gagasan ini disampaikan Presiden Jokowi ke Presiden FIFA… https://t.co/8f6gAu4z6I
80,"Putri Candrawathi, sih, ngakunya enggak paham dakwaan yang disampaikan JPU. Menurutmu gimana?🤔

| Narasi Daily https://t.co/u9OdTI5u6M"
81,"Berbeda dengan Ferdy Sambo, Bharada Richard Eliezer Pudihang Lumiu alias Bharada E memilih enggak mengajukan ekseps… https://t.co/PV7hKpVCXC"
82,"Oo tiga periode... Kaya familiar 🤔🧐

| Narasi Daily https://t.co/YFOrmMyeLe"
83,"Richard Eliezer mengaku menyesal dan meminta maaf kepada keluarga Brigadir Yosua saat sidang perdananya. 

Simak se… https://t.co/J3vUGsqbK7"
84,Wakil Kepala Polresta Bogor Kota AKBP Ferdy Irawan bilang tembakan terpaksa dilakukan karena ketiga remaja itu meng… https://t.co/7IJyZjOYIk
85,"Setelah dibacakan, Pengacara Richard Eliezer enggak mengajukan nota keberatan atas dakwaan Jaksa Penuntut Umum.
https://t.co/1maXrZbpqu"
86,"“Saya sangat menyesali perbuatan saya, namun saya hanya ingin menyatakan bahwa saya hanyalah seorang anggota yang t… https://t.co/OcOyCE1SXU"
87,"Kenapa sih maksa banget jadwal pertandingan di Kanjuruhan diadakan malam hari? 🤨 

Baca deh hasil laporan TGIPF yan… https://t.co/bucW8JJQXO"
88,"Kelima terdakwa dalam kasus pembunuhan Yosua tersebut, didakwa melanggar Pasal 340 subsider Pasal 338 juncto Pasal… https://t.co/RWeMQ8YwrA"
89,Lembaga Perlindungan Saksi dan Korban (LPSK) mengabulkan permohonan Richard Eliezer menjadi justice collaborator da… https://t.co/75IHbYMQdO
90,"Eliezer beserta Ferdy Sambo, Putri Candrawathi, Ricky Rizal, dan Kuat Ma'ruf didakwa melakukan pembunuhan berencana… https://t.co/t9THUPByRE"
91,Sidang perdana Bharada Richard Eliezer Pudihang Lumiu atau Bharada E akan kasus dugaan pembunuhan berencana Brigadi… https://t.co/zy2KXx0tyk
92,"Eh gimana, gimana, Bu Putri enggak paham sama dakwaan jaksa?

Informasi lainnya tonton #NarasiPagi di… https://t.co/qWTcvzjKTl"
93,"((Oknum)) jenderal berantas narkoba❌
((Oknum)) jenderal pemasok narkoba✅

Gimana mau bersih dari narkoba kalo yang… https://t.co/2S2pBpAVZe"
94,JPU juga bilang bahwa Sambo jadi eksekutor akhir yang memastikan Yosua tewas. https://t.co/9H0WDiWJFc
95,"Kalo kata JPU, Kuat Ma'ruf belum tau kejadian yang sebenarnya terjadi antara Putri Candrawathi dan Brigadir Yosua d… https://t.co/fgCKbw7FmL"
96,Ini dia poin-poin dari surat dakwaan terhadap Ferdy Sambo yang sudah dibacakan di awal sidang hari ini (17/10/2022)… https://t.co/xBmRZcTSap
97,"Engga cuma netizen yang ribut soal terdakwa Ferdy Sambo yang menjalani sidang tapi engga pakau rompi tahanan.

Di l… https://t.co/0kzZFgh56n"
98,"((Berterima kasih setelah Yosua dibunuh))😰😰

Simak deh apa yang disampaikan JPU terhadap Putri Candrawathi👇🏽
https://t.co/rwEjSXEhlZ"
99,"Ferdy memberikan iphone 13 pro max untuk ketiganya.

“Kemudian saat itu, terdakwa selaku istri Terdakwa Ferdy Sambo… https://t.co/nswYfWcoN6"
